0	0
	0.5
	1
0.9975	1.5
	2
	2.5
0.1411	3
-0.3508	3.5
-0.7568	4
-0.9775	4.5
-0.9589	5
-0.7055	5.5
-0.2794	6
0.2151	6.5
0.657	7
0.938	7.5
	8
	8.5
0.4121	9
	9.5
	10
	10.5
-1	11
-0.8755	11.5
-0.5366	12
-0.06632	12.5
0.4202	13
0.8038	13.5
	14
	14.5
	15
0.2065	15.5
-0.2879	16
-0.7118	16.5
-0.9614	17
-0.9756	17.5
-0.751	18
-0.3425	18.5
0.1499	19
0.6055	19.5
0.9129	20
	20.5
	21
	21.5
	22
	22.5
-0.8462	23
	23.5
	24
	24.5
	25
	25.5
	26
	26.5
	27
0.6992	27.5
	28
-0.2238	28.5
-0.6636	29
	29.5
-0.988	30
	30.5
	31
0.08397	31.5
0.5514	32
0.8839	32.5
0.9999	33
0.8711	33.5
0.5291	34
	34.5
	35
	35.5
	36
	36.5
	37
	37.5
0.2964	38
	38.5
0.9638	39
0.9736	39.5
0.7451	40
0.3342	40.5
-0.1586	41
-0.6126	41.5
-0.9165	42
-0.9961	42.5
-0.8318	43
-0.4638	43.5
0.0177	44
0.4949	44.5
0.8509	45
0.9986	45.5
	46
	46.5
	47
	47.5
	48
	48.5
	49
	49.5
	50
	50.5
	51
	51.5
	52
	52.5
	53
	53.5
	54
	54.5
	55
	55.5
	56
	56.5
	57
	57.5
	58
	58.5
	59
	59.5
	60
	60.5
	61
	61.5
	62
	62.5
	63
	63.5
	64
	64.5
	65
	65.5
	66
	66.5
	67
	67.5
	68
	68.5
	69
	69.5
	70
	70.5
	71
	71.5
	72
	72.5
	73
	73.5
	74
	74.5
	75
	75.5
	76
	76.5
	77
	77.5
	78
	78.5
	79
	79.5
	80
	80.5
	81
	81.5
	82
	82.5
	83
	83.5
	84
	84.5
	85
	85.5
	86
	86.5
	87
	87.5
	88
	88.5
	89
	89.5
	90
	90.5
	91
	91.5
	92
	92.5
	93
	93.5
	94
	94.5
	95
	95.5
	96
	96.5
	97
	97.5
	98
	98.5
	99
	99.5
	100
	100.5
	101
	101.5
	102
	102.5
	103
	103.5
	104
	104.5
	105
	105.5
	106
	106.5
	107
	107.5
	108
0.9934	108.5
	109
0.4401	109.5
	110
	110.5
-0.8646	111
	111.5
-0.89	112
-0.5624	112.5
-0.09718	113
0.3919	113.5
0.785	114
0.9859	114.5
	115
	115.5
	116
	116.5
-0.6897	117
-0.9524	117.5
	118
-0.7711	118.5
-0.3714	119
0.1192	119.5
0.5806	120
0.8999	120.5
0.9988	121
0.8532	121.5
0.4987	122
0.02211	122.5
-0.4599	123
	123.5
-0.9957	124
-0.9183	124.5
-0.616	125
-0.163	125.5
0.33	126
	126.5
0.9726	127
0.965	127.5
0.721	128
0.3006	128.5
-0.1935	129
-0.6402	129.5
	130
-0.9923	130.5
-0.8116	131
-0.4322	131.5
0.05308	132
	132.5
	133
0.9998	133.5
0.8859	134
	134.5
	135
	135.5
-0.7904	136
-0.9873	136.5
-0.9425	137
-0.6669	137.5
-0.2281	138
	138.5
	139
	139.5
0.9802	140
0.7654	140.5
0.3632	141
-0.128	141.5
-0.5878	142
	142.5
	143
	143.5
	144
	144.5
	145
	145.5
	146
	146.5
	147
	147.5
	148
-0.7481	148.5
-0.9746	149
-0.9626	149.5
-0.7149	150
-0.2921	150.5
0.2021	151
0.6469	151.5
0.9333	152
0.9912	152.5
0.8064	153
0.4242	153.5
-0.06192	154
	154.5
	155
	155.5
-0.8818	156
-0.5477	156.5
-0.07955	157
	157.5
	158
	158.5
	159
0.6603	159.5
	160
-0.2752	160.5
-0.7024	161
